[rank 1] 	COMPRESSION TIME: 2.340754270553589 
[rank 3] 	COMPRESSION TIME: 2.312082052230835 
[rank 2] 	COMPRESSION TIME: 2.241110324859619 
[rank 0] 	COMPRESSION TIME: 2.1951348781585693 
[rank 4] 	COMPRESSION TIME: 2.248986005783081 
[rank 5] 	COMPRESSION TIME: 2.3748974800109863 
[rank 7] 	COMPRESSION TIME: 2.3782410621643066 
[rank 6] 	COMPRESSION TIME: 2.225637435913086 
[rank 15] 	COMPRESSION TIME: 0.13596391677856445 
[rank 29] 	COMPRESSION TIME: 2.3463308811187744 
[rank 13] 	COMPRESSION TIME: 0.3959619998931885 
[rank 9] 	COMPRESSION TIME: 0.23932552337646484 
[rank 31] 	COMPRESSION TIME: 2.3705410957336426 
[rank 21] 	COMPRESSION TIME: 2.3767027854919434 
[rank 12] 	COMPRESSION TIME: 0.3612685203552246 
[rank 16] 	COMPRESSION TIME: 0.19181299209594727 
[rank 24] 	COMPRESSION TIME: 2.371108055114746 
[rank 8] 	COMPRESSION TIME: 0.36322522163391113 
[rank 30] 	COMPRESSION TIME: 2.17927885055542 
[rank 23] 	COMPRESSION TIME: 2.3891215324401855 
[rank 14] 	COMPRESSION TIME: 0.46692681312561035 
[rank 18] 	COMPRESSION TIME: 0.14635705947875977 
[rank 26] 	COMPRESSION TIME: 2.3655200004577637 
[rank 10] 	COMPRESSION TIME: 0.2275409698486328 
[rank 28] 	COMPRESSION TIME: 2.2141218185424805 
[rank 20] 	COMPRESSION TIME: 2.2611660957336426 
[rank 19] 	COMPRESSION TIME: 0.2965521812438965 
[rank 27] 	COMPRESSION TIME: 2.3326244354248047 
[rank 11] 	COMPRESSION TIME: 0.05254173278808594 
[rank 22] 	COMPRESSION TIME: 2.2253384590148926 
[rank 17] 	COMPRESSION TIME: 0.05744647979736328 
[rank 25] 	COMPRESSION TIME: 2.3056116104125977 
[rank 25] 	COMPRESSION TIME: 0.18283963203430176 
[rank 6] 	COMPRESSION TIME: 0.24124860763549805 
[rank 22] 	COMPRESSION TIME: 0.17391514778137207 
[rank 1] 	COMPRESSION TIME: 0.19550156593322754 
[rank 8] 	COMPRESSION TIME: 0.241044282913208 
[rank 30] 	COMPRESSION TIME: 0.15662312507629395 
[rank 7] 	COMPRESSION TIME: 0.2795906066894531 
[rank 27] 	COMPRESSION TIME: 0.22833895683288574 
[rank 21] 	COMPRESSION TIME: 0.1920299530029297 
[rank 16] 	COMPRESSION TIME: 0.27213478088378906 
[rank 0] 	COMPRESSION TIME: 0.18596911430358887 
[rank 15] 	COMPRESSION TIME: 0.2664024829864502 
[rank 10] 	COMPRESSION TIME: 0.24111247062683105 
[rank 29] 	COMPRESSION TIME: 0.2162494659423828 
[rank 5] 	COMPRESSION TIME: 0.28386449813842773 
[rank 24] 	COMPRESSION TIME: 0.1492769718170166 
[rank 23] 	COMPRESSION TIME: 0.19931578636169434 
[rank 17] 	COMPRESSION TIME: 0.254291296005249 
[rank 3] 	COMPRESSION TIME: 0.21787214279174805 
[rank 14] 	COMPRESSION TIME: 0.02721428871154785 
[rank 11] 	COMPRESSION TIME: 0.29789185523986816 
[rank 28] 	COMPRESSION TIME: 0.21814608573913574 
[rank 4] 	COMPRESSION TIME: 0.2703557014465332 
[rank 26] 	COMPRESSION TIME: 0.12651968002319336 
[rank 20] 	COMPRESSION TIME: 0.12165522575378418 
[rank 19] 	COMPRESSION TIME: 0.2499396800994873 
[rank 2] 	COMPRESSION TIME: 0.2697317600250244 
[rank 13] 	COMPRESSION TIME: 0.24046778678894043 
[rank 9] 	COMPRESSION TIME: 0.2884185314178467 
[rank 31] 	COMPRESSION TIME: 0.2545444965362549 
[rank 18] 	COMPRESSION TIME: 0.17130398750305176 
[rank 12] 	COMPRESSION TIME: 0.08179521560668945 
[rank 13] 	COMPRESSION TIME: 0.0060651302337646484 
[rank 15] 	COMPRESSION TIME: 0.0060634613037109375 
[rank 12] 	COMPRESSION TIME: 0.0059168338775634766 
[rank 14] 	COMPRESSION TIME: 0.0059320926666259766 
[rank 27] 	COMPRESSION TIME: 0.005629539489746094 
[rank 8] 	COMPRESSION TIME: 0.006974697113037109 
[rank 31] 	COMPRESSION TIME: 0.005642414093017578 
[rank 19] 	COMPRESSION TIME: 0.006780385971069336 
[rank 3] 	COMPRESSION TIME: 0.005998373031616211 
[rank 5] 	COMPRESSION TIME: 0.006903648376464844 
[rank 20] 	COMPRESSION TIME: 0.0029239654541015625 
[rank 25] 	COMPRESSION TIME: 0.0056209564208984375 
[rank 10] 	COMPRESSION TIME: 0.0069429874420166016 
[rank 28] 	COMPRESSION TIME: 0.005712747573852539 
[rank 16] 	COMPRESSION TIME: 0.0067632198333740234 
[rank 2] 	COMPRESSION TIME: 0.006027936935424805 
[rank 4] 	COMPRESSION TIME: 0.0068817138671875 
[rank 21] 	COMPRESSION TIME: 0.002931356430053711 
[rank 24] 	COMPRESSION TIME: 0.005652189254760742 
[rank 11] 	COMPRESSION TIME: 0.0071332454681396484 
[rank 29] 	COMPRESSION TIME: 0.005713939666748047 
[rank 18] 	COMPRESSION TIME: 0.006796598434448242 
